,food_items,season,min_prize,max_prize,date,model prize
0,Gram,Spring,63.72,86.09,2022-09-27,74.905
1,Onion,Monsoon,42.06,57.28,2023-02-21,49.67
2,Vanaspati oil,Spring,169.66,208.63,2023-07-22,189.14499999999998
3,Gram,Monsoon,60.94,91.31,2022-12-30,76.125
4,Groundnut oil,Monsoon,197.46,206.1,2023-10-28,201.78
5,Sugar,Winter,40.83,53.61,2023-03-26,47.22
6,Vanaspati oil,Winter,179.76,226.26,2023-11-23,203.01
7,Milk,Winter,41.42,44.78,2023-06-04,43.1
8,Atta,Monsoon,25.4,58.37,2024-07-01,41.885
9,Sunflower oil,Winter,156.69,185.67,2023-01-14,171.18
10,Milk,Summer,59.57,75.9,2022-08-31,67.735
11,Tea,Monsoon,146.15,203.79,2024-06-16,174.97
12,Groundnut oil,Summer,138.28,190.57,2023-01-12,164.425
13,Moong,Spring,74.3,117.47,2024-08-18,95.88499999999999
14,Soya oil,Winter,202.18,230.3,2023-09-28,216.24
15,Sunflower oil,Spring,125.87,175.52,2023-02-05,150.695
16,Palm oil,Monsoon,147.37,177.29,2024-04-01,162.32999999999998
17,Onion,Summer,30.38,54.85,2023-08-25,42.615
18,Tea,Spring,161.21,197.48,2022-12-25,179.345
19,Rice,Summer,68.31,83.1,2022-09-23,75.705
20,Gur,Spring,43.99,59.73,2023-11-26,51.86
21,Soya oil,Winter,219.76,222.79,2024-04-07,221.27499999999998
22,Soya oil,Summer,216.68,252.44,2023-11-19,234.56
23,Tomato,Winter,19.21,23.82,2023-12-29,21.515
24,Urad,Winter,59.46,74.2,2024-07-05,66.83
25,Sunflower oil,Spring,144.21,164.29,2023-10-20,154.25
26,Tea,Summer,198.84,201.0,2023-12-05,199.92000000000002
27,Soya oil,Spring,170.89,186.88,2023-05-31,178.885
28,Atta,Monsoon,38.06,44.88,2024-04-11,41.47
29,Sunflower oil,Monsoon,137.98,150.7,2024-02-01,144.33999999999997
30,Atta,Monsoon,28.18,32.24,2023-11-30,30.21
31,Sunflower oil,Winter,149.38,154.99,2023-04-16,152.185
32,Gur,Monsoon,39.91,54.69,2024-07-20,47.3
33,Palm oil,Summer,169.26,172.24,2023-01-05,170.75
34,Gur,Spring,55.95,58.26,2023-03-18,57.105000000000004
35,Soya oil,Winter,247.65,258.12,2024-07-10,252.885
36,Milk,Winter,59.54,71.92,2024-07-18,65.73
37,Tomato,Winter,29.79,30.78,2023-03-05,30.285
38,Onion,Monsoon,35.66,39.79,2024-03-13,37.724999999999994
39,Groundnut oil,Summer,150.73,158.95,2023-03-14,154.83999999999997
40,Tea,Winter,131.8,168.34,2023-01-31,150.07
41,Masur,Summer,61.92,95.21,2023-06-28,78.565
42,Tea,Spring,156.66,173.47,2024-02-24,165.065
43,Vanaspati oil,Monsoon,176.63,181.64,2023-10-03,179.135
44,Vanaspati oil,Winter,180.32,226.49,2024-03-26,203.405
45,Tomato,Spring,21.37,43.82,2023-10-05,32.595
46,Sugar,Monsoon,27.64,54.4,2023-11-05,41.019999999999996
47,Palm oil,Spring,137.36,148.84,2023-06-26,143.10000000000002
48,Rice,Monsoon,57.6,58.25,2024-01-16,57.925
49,Tea,Monsoon,182.89,183.06,2023-12-13,182.975
50,Gur,Summer,51.95,59.52,2023-06-09,55.735
51,Groundnut oil,Monsoon,181.46,218.54,2023-04-02,200.0
52,Tomato,Winter,19.98,40.16,2024-08-01,30.07
53,Potato,Monsoon,31.84,47.95,2023-05-13,39.895
54,Atta,Winter,29.46,63.32,2023-09-14,46.39
55,Moong,Winter,83.41,114.38,2023-03-24,98.895
56,Soya oil,Spring,219.95,234.84,2023-04-11,227.39499999999998
57,Onion,Summer,46.28,55.69,2024-08-12,50.985
58,Masur,Winter,86.43,100.13,2024-06-06,93.28
59,Onion,Summer,47.63,63.12,2023-04-19,55.375
60,Potato,Summer,34.51,47.29,2024-05-18,40.9
61,Mustard Oil,Winter,206.93,221.79,2023-05-15,214.36
62,Gur,Summer,45.6,66.46,2023-12-31,56.03
63,Gram,Summer,50.48,63.91,2024-02-01,57.19499999999999
64,Moong,Summer,89.81,98.57,2024-04-23,94.19
65,Onion,Summer,42.36,54.21,2023-09-11,48.285
66,Tomato,Winter,17.71,28.83,2024-05-16,23.27
67,Atta,Spring,36.4,53.3,2024-03-02,44.849999999999994
68,Tomato,Summer,26.49,45.11,2023-08-26,35.8
69,Rice,Summer,59.56,72.69,2023-09-09,66.125
70,Sunflower oil,Spring,163.79,173.42,2024-02-14,168.605
71,Gur,Summer,45.9,76.31,2023-01-15,61.105000000000004
72,Salt,Summer,22.09,38.22,2023-01-09,30.155
73,Urad,Summer,53.01,96.22,2023-08-25,74.615
74,Mustard Oil,Monsoon,190.0,229.95,2023-08-11,209.975
75,Moong,Spring,74.48,114.0,2023-04-19,94.24000000000001
76,Tur,Summer,74.87,102.65,2023-02-03,88.76
77,Vanaspati oil,Spring,148.67,217.64,2023-05-28,183.15499999999997
78,Onion,Summer,46.15,59.72,2022-12-31,52.935
79,Gram,Winter,60.18,62.59,2024-02-23,61.385000000000005
80,Salt,Monsoon,20.46,31.59,2023-07-28,26.025
81,Groundnut oil,Winter,180.54,214.73,2022-10-27,197.635
82,Rice,Winter,69.27,87.01,2024-05-21,78.14
83,Onion,Winter,30.23,44.55,2023-04-02,37.39
84,Tur,Monsoon,91.9,96.72,2024-02-27,94.31
85,Vanaspati oil,Monsoon,176.47,179.38,2023-09-17,177.925
86,Atta,Spring,29.0,29.67,2024-08-11,29.335
87,Rice,Winter,63.81,69.67,2023-04-10,66.74000000000001
88,Potato,Spring,26.91,57.62,2024-02-24,42.265
89,Rice,Spring,61.13,62.05,2023-08-08,61.59
90,Sugar,Monsoon,28.29,51.1,2022-12-28,39.695
