State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,19/08/2024,8600,8800,8700
Andhra Pradesh,Kurnool,Nandyal,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,19/08/2024,5500,5500,5500
Himachal Pradesh,Bilaspur,Bilaspur,Onion,Other,FAQ,19/08/2024,4000,4200,4100
Himachal Pradesh,Kangra,Kangra,Onion,Other,FAQ,19/08/2024,4200,4500,4300
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Onion,1st Sort,FAQ,19/08/2024,4500,4600,4550
Karnataka,Koppal,Kustagi,Green Gram (Moong)(Whole),Hybrid,FAQ,19/08/2024,6900,7210,7000
Kerala,Kottayam,Athirampuzha,Onion,Big,FAQ,19/08/2024,4300,4500,4400
Kerala,Kottayam,Ettumanoor,Onion,Big,FAQ,19/08/2024,4200,4600,4400
Kerala,Kottayam,Ettumanoor,Potato,Potato,FAQ,19/08/2024,4400,4600,4500
Kerala,Kottayam,Kottayam,Green Gram (Moong)(Whole),Other,FAQ,19/08/2024,10500,12500,11500
Kerala,Kottayam,Pala,Onion,Onion,FAQ,19/08/2024,7500,8600,8000
Kerala,Kozhikode(Calicut),Kallachi,Onion,Other,FAQ,19/08/2024,4000,4400,4200
Kerala,Malappuram,Manjeri,Green Gram (Moong)(Whole),Bold,FAQ,19/08/2024,11500,11600,11550
Kerala,Thirssur,Kodungalloor,Onion,Other,FAQ,19/08/2024,4100,4500,4200
Kerala,Thiruvananthapuram,Pothencode,Onion,Other,FAQ,19/08/2024,25300,25380,25340
Madhya Pradesh,Ujjain,Ujjain,Potato,Chips,FAQ,19/08/2024,2200,2200,2200
Manipur,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,19/08/2024,9500,10000,9750
Manipur,Bishnupur,Bishenpur,Onion,Onion,FAQ,19/08/2024,5500,6000,5750
Manipur,Bishnupur,Bishenpur,Potato,Other,FAQ,19/08/2024,4000,4500,4250
Manipur,Imphal East,Lamlong Bazaar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,19/08/2024,17000,18000,17500
Manipur,Imphal East,Lamlong Bazaar,Masur Dal,Masur Dal,FAQ,19/08/2024,9000,10000,9500
Manipur,Imphal East,Lamlong Bazaar,Potato,Other,FAQ,19/08/2024,4000,4500,4250
Manipur,Imphal East,Lamlong Bazaar,Rice,Other,FAQ,19/08/2024,5300,5300,5300
Manipur,Imphal West,Imphal,Black Gram (Urd Beans)(Whole),Black Gram Dal,FAQ,19/08/2024,13000,14000,13500
Manipur,Kakching,Kakching Market,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,19/08/2024,18500,19000,18750
Manipur,Kakching,Kakching Market,Rice,Other,FAQ,19/08/2024,5300,5300,5300
Manipur,Thoubal,Thoubal,Potato,Other,FAQ,19/08/2024,4000,4500,4250
Nagaland,Kohima,Jalukie,Potato,Potato,FAQ,19/08/2024,4000,4500,4200
Punjab,Fatehgarh,Bassi Pathana,Potato,Potato,FAQ,19/08/2024,2000,2200,2100
Punjab,Hoshiarpur,Garh Shankar(Mahalpur),Potato,Potato,FAQ,19/08/2024,1200,1800,1600
Punjab,Jalandhar,Bilga,Potato,Other,FAQ,19/08/2024,1800,2000,1900
Punjab,Muktsar,Bariwala,Onion,Nasik,FAQ,19/08/2024,2800,2800,2800
Punjab,Sangrur,Malerkotla,Potato,Other,FAQ,19/08/2024,1000,1500,1200
Punjab,Sangrur,Sangrur,Potato,Desi,FAQ,19/08/2024,600,1300,1000
Tamil Nadu,Chengalpattu,Chengalpet(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4500,4500
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,6500,7000,7000
Tamil Nadu,Coimbatore,Pollachi(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,5000,6000,6000
Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4500,4500
Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4000,4300,4300
Tamil Nadu,Coimbatore,Sundarapuram(Uzhavar Sandhai ),Potato,(Red Nanital),Local,19/08/2024,6000,6800,6800
Tamil Nadu,Coimbatore,Udumalpet,Onion,Bellary,Local,19/08/2024,5000,5500,5500
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5400,5400
Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,5000,5000,5000
Tamil Nadu,Dharmapuri,Palacode(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ),Onion,Bellary,Local,19/08/2024,4500,5000,5000
